id_produto,nome_produto,categoria,marca,preco,classificacao_media,qtd_avaliacoes,qtd_estoque,desconto_pct,destaque,peso_kg
P0000,PetLife_Saude #0,Saude,PetLife,34.82,4.0,137,126,0,0,0.35
P0001,GlowUp_Beleza #1,Beleza,GlowUp,53.35,5.0,494,51,10,0,1.76
P0002,EcoLiving_Material_Escritorio #2,Material_Escritorio,EcoLiving,51.45,3.5,433,928,0,0,0.21
P0003,DigiTools_Eletronicos #3,Eletronicos,DigiTools,179.9,4.0,267,127,0,1,0.25
P0004,StyleMax_Pet_Shop #4,Pet_Shop,StyleMax,12.54,3.7,402,580,0,0,1.23
P0005,GlowUp_Saude #5,Saude,GlowUp,26.06,3.4,76,639,0,0,4.8
P0006,PlayTime_Esportes #6,Esportes,PlayTime,43.06,3.4,375,220,0,0,3.16
P0007,PetLife_Esportes #7,Esportes,PetLife,57.53,2.5,95,918,0,0,1.46
P0008,PureBrand_Roupas #8,Roupas,PureBrand,18.35,4.1,409,802,40,0,0.12
P0009,HomeEssentials_Alimentos #9,Alimentos,HomeEssentials,20.37,4.3,120,48,0,0,0.09
P0010,StyleMax_Joias #10,Joias,StyleMax,57.47,3.6,271,28,0,0,0.84
P0011,UrbanStyle_Musica #11,Musica,UrbanStyle,21.01,4.2,365,989,0,0,5.84
P0012,PetLife_Automotivo #12,Automotivo,PetLife,75.31,2.6,12,110,0,0,0.41
P0013,PureBrand_Livros #13,Livros,PureBrand,10.75,5.0,92,470,0,0,2.37
P0014,EcoLiving_Casa_Jardim #14,Casa_Jardim,EcoLiving,117.43,3.4,110,767,0,0,1.36
P0015,FreshMarket_Beleza #15,Beleza,FreshMarket,23.98,3.6,103,381,0,0,0.56
P0016,GlowUp_Casa_Jardim #16,Casa_Jardim,GlowUp,37.26,4.5,393,956,0,0,0.66
P0017,StyleMax_Casa_Jardim #17,Casa_Jardim,StyleMax,78.39,2.8,489,682,10,1,0.19
P0018,DigiTools_Casa_Jardim #18,Casa_Jardim,DigiTools,93.25,3.6,208,753,0,0,1.55
P0019,PlayTime_Eletronicos #19,Eletronicos,PlayTime,181.34,3.4,378,989,30,1,0.52
P0020,TechPro_Eletronicos #20,Eletronicos,TechPro,219.43,4.4,112,127,0,0,2.34
P0021,ReadMore_Brinquedos #21,Brinquedos,ReadMore,40.48,3.0,190,204,0,0,0.8
