categoria,canal,quantidade_vendas,valor_movimentado_bruto,faturamento_liquido,ticket_medio_concluido,preco_medio
Eletronicos,nao_identificado,8796,"2,530,955.24","1,504,492.02",291.0,195.67
Joias,nao_identificado,8590,"1,252,583.72","726,939.15",145.36,100.61
Automotivo,nao_identificado,8288,"1,011,122.68","573,611.10",123.17,83.47
Casa_Jardim,nao_identificado,8087,"728,549.55","420,824.46",90.46,61.1
Esportes,nao_identificado,9049,"643,249.22","362,736.17",70.85,48.48
Roupas,nao_identificado,8475,"597,954.98","337,762.07",70.12,48.01
Saude,nao_identificado,10857,"578,858.19","331,877.98",52.93,36.26
Software,nao_identificado,6445,"484,342.68","275,158.57",74.65,51.12
Pet_Shop,nao_identificado,8247,"339,825.11","193,877.33",40.73,27.3
Brinquedos,nao_identificado,7157,"269,186.28","157,511.03",38.07,25.73
Beleza,nao_identificado,6029,"269,854.83","153,796.59",44.48,30.59
Material_Escritorio,nao_identificado,8697,"256,456.36","148,928.15",29.9,20.13
Musica,nao_identificado,6189,"168,691.00","94,569.77",27.28,18.93
Alimentos,nao_identificado,9128,"151,955.82","85,451.42",16.54,11.54
Livros,nao_identificado,5952,"128,816.73","74,605.38",22.28,14.83
Joias,email,1,741.32,741.32,741.32,185.33
Joias,orgânico,2,151.34,99.46,99.46,50.81
Saude,social,1,89.88,89.88,89.88,44.94
Material_Escritorio,social,1,53.28,53.28,53.28,17.76
Saude,busca_paga,2,95.02,50.36,50.36,47.51
Automotivo,busca_paga,1,31.08,31.08,31.08,31.08
Pet_Shop,busca_paga,1,16.50,16.50,16.5,8.25
Alimentos,orgânico,1,13.52,13.52,13.52,13.52
Alimentos,indicacao,1,11.45,11.45,11.45,11.45
Esportes,busca_paga,1,72.60,0.00,,72.6
Beleza,busca_paga,1,28.02,0.00,,28.02
Casa_Jardim,direto,1,70.45,0.00,,70.45
