mes_transacao,status,total_pedidos,faturamento,ticket_medio
1,cancelado,1510,"99,633.53",65.98
1,concluido,5841,"394,198.43",67.49
1,pendente,1372,"97,104.45",70.78
1,reembolsado,1420,"93,788.46",66.05
2,cancelado,1303,"77,454.37",59.44
2,concluido,5292,"332,702.71",62.87
2,pendente,1338,"80,276.90",60.0
2,reembolsado,1368,"88,849.06",64.95
3,cancelado,1405,"92,330.73",65.72
3,concluido,5833,"392,351.53",67.26
3,pendente,1455,"98,968.96",68.02
3,reembolsado,1537,"101,309.73",65.91
4,cancelado,1496,"102,904.49",68.79
4,concluido,5711,"409,975.60",71.79
4,pendente,1380,"93,782.73",67.96
4,reembolsado,1409,"94,089.21",66.78
5,cancelado,1391,"106,364.78",76.47
5,concluido,5956,"441,176.66",74.07
5,pendente,1505,"110,439.83",73.38
5,reembolsado,1450,"108,484.30",74.82
6,cancelado,1409,"108,126.87",76.74
6,concluido,5536,"427,009.28",77.13
6,pendente,1432,"114,733.38",80.12
6,reembolsado,1444,"106,935.79",74.06
7,cancelado,1423,"108,623.82",76.33
7,concluido,5767,"450,872.58",78.18
7,pendente,1481,"111,717.95",75.43
7,reembolsado,1444,"107,677.21",74.57
8,cancelado,1496,"117,442.18",78.5
8,concluido,5898,"453,286.23",76.85
8,pendente,1466,"103,729.43",70.76
8,reembolsado,1442,"104,958.50",72.79
9,cancelado,1430,"108,097.71",75.59
9,concluido,5740,"431,472.92",75.17
9,pendente,1449,"102,677.62",70.86
9,reembolsado,1380,"102,441.32",74.23
10,cancelado,1431,"121,940.49",85.21
10,concluido,5831,"482,253.07",82.71
10,pendente,1369,"109,637.98",80.09
10,reembolsado,1453,"116,278.81",80.03
11,cancelado,1446,"151,093.82",104.49
11,concluido,5600,"574,858.61",102.65
11,pendente,1408,"136,159.68",96.7
11,reembolsado,1376,"141,438.96",102.79
12,cancelado,1352,"145,239.87",107.43
12,concluido,5695,"653,090.42",114.68
12,pendente,1414,"157,483.67",111.37
12,reembolsado,1416,"148,312.22",104.74
