categoria,total_vendas,valor_movimentado_bruto,faturamento_liquido,preco_medio_praticado
Eletronicos,8796,"2,530,955.24","1,504,492.02",195.67
Joias,8593,"1,253,476.38","727,779.93",100.61
Automotivo,8289,"1,011,153.76","573,642.18",83.47
Casa_Jardim,8088,"728,620.00","420,824.46",61.11
Esportes,9050,"643,321.82","362,736.17",48.48
Roupas,8475,"597,954.98","337,762.07",48.01
Saude,10860,"579,043.09","332,018.22",36.26
Software,6445,"484,342.68","275,158.57",51.12
Pet_Shop,8248,"339,841.61","193,893.83",27.29
Brinquedos,7157,"269,186.28","157,511.03",25.73
Beleza,6030,"269,882.85","153,796.59",30.58
Material_Escritorio,8698,"256,509.64","148,981.43",20.13
Musica,6189,"168,691.00","94,569.77",18.93
Alimentos,9130,"151,980.79","85,476.39",11.54
Livros,5952,"128,816.73","74,605.38",14.83
