id_cliente,segmento,pais,idade,valor_vitalicio
C04587,VIP,Estados_Unidos,33,9353.25
C08939,VIP,Reino_Unido,48,9320.91
C03808,VIP,Estados_Unidos,20,9026.7
C07156,VIP,Canada,33,9007.12
C09668,VIP,Franca,59,8990.45
C00584,VIP,Alemanha,55,8580.5
C03714,VIP,Australia,42,8340.74
C06340,VIP,Estados_Unidos,26,8297.84
C06246,VIP,Alemanha,18,8247.14
C07743,VIP,Mexico,26,8174.02
C07284,VIP,Estados_Unidos,39,8122.57
C00936,VIP,Estados_Unidos,49,7815.09
C03747,VIP,India,42,7810.15
C03202,VIP,Reino_Unido,33,7788.94
C06230,VIP,Estados_Unidos,40,7788.59
C02471,VIP,Estados_Unidos,18,7763.36
C06884,VIP,Estados_Unidos,21,7752.02
C00405,VIP,Estados_Unidos,32,7726.43
C04225,VIP,Franca,53,7690.75
C08566,VIP,Estados_Unidos,36,7690.55
