pais,total_transacoes,valor_movimentado_bruto,faturamento_liquido,ticket_medio_concluido,custo_envio_medio
Estados_Unidos,47067,"3,673,352.77","2,124,285.38",79.0,4.07
Reino_Unido,14184,"1,144,604.81","675,408.99",82.78,4.03
Canada,11965,"936,059.62","530,586.73",77.27,4.07
Alemanha,9200,"725,137.89","405,334.32",78.19,4.03
Franca,7759,"601,592.61","353,837.58",79.23,4.07
India,7416,"590,258.75","338,440.70",79.93,4.06
Australia,7278,"564,816.93","325,555.66",77.66,3.99
Brasil,6455,"498,518.93","292,870.56",78.27,4.06
Japao,5403,"428,467.03","250,346.70",80.68,4.12
Mexico,3273,"250,967.51","146,581.42",78.64,4.05
